/award/award_winner/awards_won./award/award_honor/award_winner
length: 2, num: 6
Qualify Rule 1:  [2, 2] :[NSC, SC, HC] [0.75, 0.75, 0.001034126163391934] 2 /media_common/netflix_genre/titles; 2 /media_common/netflix_genre/titles; 
Qualify Rule 2:  [78, 2] :[NSC, SC, HC] [1.0, 1.0, 0.0031023784901758012] 78 /film/film_subject/films; 2 /media_common/netflix_genre/titles; 
Rule 3:  [2, 122] :[NSC, SC, HC] [0.40463065049614111, 0.291005291005291, 0.05687693898655636] 2 /media_common/netflix_genre/titles; 122 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for; 
Rule 4:  [2, 123] :[NSC, SC, HC] [0.41051454138702459, 0.2879858657243816, 0.05618752154429507] 2 /media_common/netflix_genre/titles; 123 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for^-1; 
Rule 5:  [137, 2] :[NSC, SC, HC] [0.19047619047619047, 0.19047619047619047, 0.0013788348845225785] 137 /tv/tv_program/genre^-1; 2 /media_common/netflix_genre/titles; 
Rule 6:  [181, 2] :[NSC, SC, HC] [0.26666666666666666, 0.26666666666666666, 0.002757669769045157] 181 /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location^-1; 2 /media_common/netflix_genre/titles; 

Rules number: 4
Qualify Rules number: 2

/award/award_winner/awards_won./award/award_honor/award_winner
length: 3, num: 353
Rule 26:  [86, 369, 3] :[NSC, SC, HC] [0.019900497512437811, 0.02040816326530612, 0.002805049088359046] 86 /base/popstra/celebrity/friendship./base/popstra/friendship/participant; 369 /people/person/spouse_s./people/marriage/spouse^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 27:  [369, 86, 3] :[NSC, SC, HC] [0.013392857142857142, 0.014150943396226415, 0.0021037868162692847] 369 /people/person/spouse_s./people/marriage/spouse^-1; 86 /base/popstra/celebrity/friendship./base/popstra/friendship/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 28:  [102, 234, 3] :[NSC, SC, HC] [0.0625, 0.07692307692307693, 0.001402524544179523] 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 234 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 29:  [3, 168, 169] :[NSC, SC, HC] [0.018572825024437929, 0.01568627450980392, 0.011220196353436185] 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 168 /film/film/production_companies; 169 /film/film/production_companies^-1; 
Rule 30:  [13, 6, 3] :[NSC, SC, HC] [0.32359220709901254, 0.03849487216524628, 0.3737727910238429] 13 /award/award_nominee/award_nominations./award/award_nomination/award_nominee^-1; 6 /award/award_winner/awards_won./award/award_honor/award_winner; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 31:  [6, 13, 3] :[NSC, SC, HC] [0.3092957656695724, 0.034850088183421515, 0.34642356241234223] 6 /award/award_winner/awards_won./award/award_honor/award_winner; 13 /award/award_nominee/award_nominations./award/award_nomination/award_nominee^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 32:  [240, 150, 3] :[NSC, SC, HC] [0.071428571428571425, 0.06037735849056604, 0.02244039270687237] 240 /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant; 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 33:  [150, 240, 3] :[NSC, SC, HC] [0.075503355704697989, 0.05486725663716814, 0.021739130434782608] 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 240 /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 34:  [151, 103, 3] :[NSC, SC, HC] [0.16528925619834711, 0.1452991452991453, 0.023842917251051893] 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 103 /base/popstra/celebrity/breakup./base/popstra/breakup/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 35:  [103, 151, 3] :[NSC, SC, HC] [0.19383259911894274, 0.16822429906542055, 0.025245441795231416] 103 /base/popstra/celebrity/breakup./base/popstra/breakup/participant^-1; 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 36:  [39, 38, 3] :[NSC, SC, HC] [0.16490486257928119, 0.07436708860759493, 0.03295932678821879] 39 /influence/influence_node/influenced_by^-1; 38 /influence/influence_node/influenced_by; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 37:  [38, 39, 3] :[NSC, SC, HC] [0.12104622871046229, 0.06326723323890462, 0.046984572230014024] 38 /influence/influence_node/influenced_by; 39 /influence/influence_node/influenced_by^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 38:  [368, 6, 3] :[NSC, SC, HC] [0.059866962305986697, 0.02727272727272727, 0.006311360448807854] 368 /people/person/spouse_s./people/marriage/spouse; 6 /award/award_winner/awards_won./award/award_honor/award_winner; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 39:  [6, 368, 3] :[NSC, SC, HC] [0.059496567505720827, 0.059496567505720827, 0.0182328190743338] 6 /award/award_winner/awards_won./award/award_honor/award_winner; 368 /people/person/spouse_s./people/marriage/spouse; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 40:  [150, 102, 3] :[NSC, SC, HC] [0.21153846153846154, 0.18181818181818182, 0.025245441795231416] 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 41:  [102, 150, 3] :[NSC, SC, HC] [0.17937219730941703, 0.15865384615384615, 0.02314165497896213] 102 /base/popstra/celebrity/breakup./base/popstra/breakup/participant; 150 /base/popstra/celebrity/dated./base/popstra/dated/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Qualify Rule 42:  [3, 386, 387] :[NSC, SC, HC] [0.57754800590841948, 0.543918918918919, 0.45161290322580644] 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 386 /tv/tv_program/program_creator; 387 /tv/tv_program/program_creator^-1; 
Qualify Rule 43:  [387, 386, 3] :[NSC, SC, HC] [0.79365079365079361, 0.7142857142857143, 0.021037868162692847] 387 /tv/tv_program/program_creator^-1; 386 /tv/tv_program/program_creator; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 44:  [369, 6, 3] :[NSC, SC, HC] [0.057692307692307696, 0.03194888178913738, 0.0070126227208976155] 369 /people/person/spouse_s./people/marriage/spouse^-1; 6 /award/award_winner/awards_won./award/award_honor/award_winner; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 45:  [6, 369, 3] :[NSC, SC, HC] [0.058823529411764705, 0.058823529411764705, 0.020336605890603085] 6 /award/award_winner/awards_won./award/award_honor/award_winner; 369 /people/person/spouse_s./people/marriage/spouse^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 46:  [340, 7, 3] :[NSC, SC, HC] [0.057142857142857141, 0.047619047619047616, 0.0021037868162692847] 340 /people/person/sibling_s./people/sibling_relationship/sibling; 7 /award/award_winner/awards_won./award/award_honor/award_winner^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 47:  [7, 340, 3] :[NSC, SC, HC] [0.059999999999999998, 0.041666666666666664, 0.001402524544179523] 7 /award/award_winner/awards_won./award/award_honor/award_winner^-1; 340 /people/person/sibling_s./people/sibling_relationship/sibling; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 48:  [368, 87, 3] :[NSC, SC, HC] [0.017777777777777778, 0.019138755980861243, 0.002805049088359046] 368 /people/person/spouse_s./people/marriage/spouse; 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 49:  [87, 368, 3] :[NSC, SC, HC] [0.015151515151515152, 0.015625, 0.0021037868162692847] 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 368 /people/person/spouse_s./people/marriage/spouse; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 50:  [240, 151, 3] :[NSC, SC, HC] [0.075645756457564578, 0.061386138613861385, 0.021739130434782608] 240 /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant; 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 51:  [151, 240, 3] :[NSC, SC, HC] [0.07907742998352553, 0.05799648506151142, 0.02314165497896213] 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 240 /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 52:  [235, 87, 3] :[NSC, SC, HC] [0.14332247557003258, 0.1044776119402985, 0.019635343618513323] 235 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend^-1; 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
